Row data started in the following order:
time, gx, gy, gz, ax, ay, az, mx, my, mz, temp, pres;
3946670890l,   -0.01171,   -0.01064,   -0.01064,   -0.03223,   +0.06299,   +1.02441,  -30.77930, +3463.21436,  +38.41406,   +0.00000,   +0.00000;
3946674007l,   -0.01703,   -0.00851,   -0.00639,   -0.02588,   +0.06299,   +1.02930,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946677052l,   -0.01064,   -0.00532,   -0.00851,   -0.02490,   +0.05322,   +1.01709,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946680095l,   -0.01171,   -0.00532,   -0.01277,   -0.02295,   +0.05664,   +1.00977,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946683138l,   -0.00745,   -0.00745,   -0.01171,   -0.02588,   +0.05273,   +1.01465,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946686180l,   -0.00851,   -0.01064,   -0.01171,   -0.01904,   +0.06250,   +1.00928,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946689224l,   -0.01490,   -0.00639,   -0.00532,   -0.01904,   +0.05273,   +1.03369,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946692267l,   -0.01277,   -0.00851,   -0.00745,   -0.02100,   +0.05127,   +1.01514,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946695310l,   -0.01064,   -0.00958,   -0.00958,   -0.02295,   +0.04346,   +1.03125,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946698353l,   -0.00851,   -0.00745,   -0.00745,   -0.01660,   +0.05127,   +1.02393,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946701394l,   -0.01383,   -0.00426,   -0.01171,   -0.02441,   +0.04834,   +1.02979,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946704436l,   -0.01064,   -0.01171,   -0.01064,   -0.03027,   +0.05908,   +1.01270,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946707477l,   -0.01064,   -0.00958,   -0.00851,   -0.02393,   +0.05176,   +1.03076,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946710519l,   -0.01383,   -0.01064,   -0.01064,   -0.01562,   +0.05664,   +1.02100,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946713561l,   -0.01171,   -0.00745,   -0.00745,   -0.01855,   +0.05664,   +1.00781,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946716621l,   -0.01383,   -0.00958,   -0.00532,   -0.02441,   +0.05713,   +1.02539,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946719662l,   -0.01596,   -0.01277,   -0.01064,   -0.02539,   +0.05371,   +1.01855,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946722722l,   -0.01596,   -0.00958,   -0.00851,   -0.02246,   +0.05273,   +1.01465,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946725764l,   -0.01171,   -0.00851,   -0.00958,   -0.02490,   +0.05957,   +1.02295,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946728824l,   -0.01277,   -0.00851,   -0.00851,   -0.02148,   +0.06543,   +1.01709,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946731866l,   -0.01490,   -0.00639,   -0.01064,   -0.02295,   +0.05225,   +1.01758,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946734908l,   -0.01383,   -0.00851,   -0.01064,   -0.02344,   +0.05664,   +1.02197,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946737966l,   -0.00958,   -0.01171,   -0.01064,   -0.02197,   +0.05420,   +1.01855,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946741007l,   -0.01171,   -0.00532,   -0.01596,   -0.02588,   +0.05664,   +1.01855,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946744051l,   -0.00851,   -0.00639,   -0.00745,   -0.02686,   +0.04980,   +1.01855,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946747093l,   -0.00958,   -0.00639,   -0.01064,   -0.02832,   +0.05518,   +1.02246,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946750135l,   -0.00532,   -0.01064,   -0.00745,   -0.02539,   +0.05664,   +1.01904,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946753179l,   -0.01490,   -0.00532,   -0.00851,   -0.02344,   +0.06055,   +1.02100,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946756311l,   -0.00745,   -0.00745,   -0.00639,   -0.03174,   +0.06055,   +1.01611,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946759354l,   -0.01596,   -0.01277,   -0.00851,   -0.02588,   +0.05762,   +1.01709,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946762397l,   -0.00851,   -0.00532,   -0.01171,   -0.02881,   +0.05615,   +1.02539,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946765438l,   -0.01277,   -0.00745,   -0.01064,   -0.02002,   +0.05078,   +1.00977,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946768480l,   -0.00851,   -0.00851,   -0.00639,   -0.02393,   +0.05762,   +1.02637,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946771521l,   -0.01064,   -0.00639,   -0.01703,   -0.02002,   +0.05615,   +1.01904,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946774563l,   -0.01277,   -0.01064,   -0.00213,   -0.03027,   +0.05762,   +1.02002,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946777606l,   -0.01171,   -0.01064,   -0.00639,   -0.02197,   +0.05322,   +1.01758,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946780649l,   -0.01596,   -0.00851,   -0.00745,   -0.02588,   +0.05176,   +1.01758,  -17.01914,  -30.41719,  +35.27110,   +0.00000,   +0.00000;
3946783692l,   -0.01383,   -0.00532,   -0.00958,   -0.02344,   +0.05859,   +1.03467,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946786734l,   -0.01383,   -0.01171,   -0.00639,   -0.02051,   +0.05420,   +1.01953,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946789777l,   -0.01383,   -0.00745,   -0.00745,   -0.03613,   +0.05615,   +1.02393,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946792819l,   -0.00851,   -0.01277,   -0.01064,   -0.03564,   +0.05127,   +1.01416,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946795861l,   -0.01277,   -0.00745,   -0.00851,   -0.02441,   +0.04688,   +1.02295,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946798903l,   -0.01383,   -0.00639,   -0.00958,   -0.02832,   +0.05176,   +1.02979,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946801965l,   -0.01064,   -0.01171,   -0.00958,   -0.02783,   +0.06152,   +1.02051,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946805008l,   -0.01703,   -0.00745,   -0.00958,   -0.02393,   +0.04492,   +1.02783,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946808050l,   -0.01064,   -0.00851,   -0.00426,   -0.02393,   +0.05420,   +1.01611,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946811093l,   -0.00958,   -0.00639,   -0.01064,   -0.01855,   +0.06494,   +0.99756,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946814136l,   -0.01064,   -0.00958,   -0.00639,   -0.01611,   +0.05908,   +1.02295,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946817178l,   -0.01383,   -0.00851,   -0.00851,   -0.02295,   +0.05420,   +1.02441,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946820220l,   -0.01277,   -0.01064,   -0.00639,   -0.02588,   +0.06152,   +1.02490,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946823263l,   -0.01064,   -0.00958,   -0.00745,   -0.01807,   +0.06787,   +1.01465,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946826304l,   -0.01596,   -0.01171,   -0.01064,   -0.02295,   +0.05420,   +1.03271,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946829346l,   -0.01383,   -0.00745,   -0.00639,   -0.02783,   +0.05225,   +1.02930,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946832389l,   -0.01064,   -0.00851,   -0.01064,   -0.03174,   +0.04639,   +1.00977,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946835432l,   -0.01383,   -0.00958,   -0.00851,   -0.01709,   +0.04492,   +1.01953,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946838474l,   -0.01277,   -0.00958,   -0.00319,   -0.02832,   +0.05518,   +1.02246,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946841555l,   -0.01277,   -0.00532,   -0.00745,   -0.02881,   +0.04785,   +1.00049,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946844600l,   -0.01277,   -0.01596,   -0.00851,   -0.02100,   +0.05859,   +1.02393,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946847644l,   -0.00958,   -0.00426,   -0.01171,   -0.02734,   +0.04980,   +1.02002,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946850687l,   -0.01490,   -0.00639,   -0.00639,   -0.02930,   +0.05420,   +1.01562,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946853731l,   -0.00958,   -0.01171,   -0.01064,   -0.01416,   +0.04932,   +1.01855,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946856773l,   -0.01383,   -0.01277,   -0.00851,   -0.02734,   +0.05420,   +1.00781,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946859816l,   -0.01064,   -0.01171,   -0.00958,   -0.01514,   +0.04932,   +1.02148,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946862857l,   -0.01383,   -0.00532,   -0.00426,   -0.02441,   +0.05420,   +1.03516,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946865899l,   -0.01064,   -0.01171,   -0.00958,   -0.02734,   +0.05273,   +1.02588,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946868942l,   -0.01064,   -0.00851,   -0.00851,   -0.02832,   +0.05615,   +1.02588,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946872003l,   -0.01277,   -0.00532,   -0.00958,   -0.01660,   +0.04785,   +1.02246,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946875046l,   -0.01277,   -0.01064,   -0.00639,   -0.02881,   +0.05664,   +1.02539,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946878088l,   -0.01064,   -0.00958,   -0.01277,   -0.01465,   +0.05273,   +1.01074,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946881130l,   -0.01277,   -0.01064,   -0.00958,   -0.02051,   +0.05371,   +1.01660,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946884174l,   -0.00958,   -0.00958,   -0.00532,   -0.02197,   +0.06055,   +1.00391,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946887215l,   -0.01596,   -0.00851,   -0.00958,   -0.02734,   +0.04736,   +1.02539,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946890258l,   -0.01171,   -0.00851,   -0.01383,   -0.02539,   +0.05225,   +1.02881,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946893300l,   -0.01171,   -0.00851,   -0.00639,   -0.02197,   +0.05566,   +1.01562,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946896343l,   -0.01383,   -0.00958,   -0.01171,   -0.02441,   +0.05811,   +1.02441,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946899384l,   -0.01383,   -0.00958,   -0.00958,   -0.03076,   +0.05518,   +1.02051,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946902427l,   -0.01383,   -0.00851,   -0.00426,   -0.02686,   +0.06201,   +1.02295,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946905470l,   -0.01490,   -0.00532,   -0.01383,   -0.01221,   +0.05713,   +1.03809,  -18.28652,  -30.23613,  +36.84258,   +0.00000,   +0.00000;
3946908514l,   -0.01383,   -0.01064,   -0.01064,   -0.02734,   +0.05518,   +1.01758,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946911555l,   -0.00851,   -0.00639,   -0.00851,   -0.02490,   +0.05029,   +1.01172,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946914598l,   -0.01064,   -0.01064,   -0.00958,   -0.02686,   +0.05322,   +1.03955,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946917639l,   -0.00851,   -0.00745,   -0.00851,   -0.02979,   +0.05176,   +1.02881,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946920679l,   -0.01064,   -0.01064,   -0.00745,   -0.01904,   +0.05029,   +1.02539,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946923722l,   -0.00958,   -0.00639,   -0.00426,   -0.02686,   +0.05957,   +1.02441,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946926764l,   -0.01383,   -0.00745,   -0.00745,   -0.02344,   +0.05029,   +1.01709,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946929837l,   -0.01490,   -0.00958,   -0.01064,   -0.02246,   +0.05566,   +1.01074,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946932880l,   -0.01277,   -0.00426,   -0.00851,   -0.02539,   +0.05225,   +1.02734,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946935923l,   -0.01064,   -0.01171,   -0.00958,   -0.03223,   +0.05078,   +1.02051,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946938966l,   -0.01064,   -0.00958,   -0.00745,   -0.02441,   +0.04443,   +1.02197,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946942038l,   -0.01809,   -0.01064,   -0.00532,   -0.01318,   +0.04492,   +1.02979,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946945079l,   -0.01596,   -0.00851,   -0.00851,   -0.03027,   +0.05713,   +1.02539,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946948120l,   -0.01064,   -0.00532,   -0.00639,   -0.02734,   +0.05176,   +1.02539,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946951162l,   -0.01171,   -0.01171,   -0.00958,   -0.03418,   +0.05176,   +1.01123,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946954206l,   -0.01703,   -0.00213,   -0.00532,   -0.02490,   +0.05371,   +1.01367,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946957248l,   -0.01277,   -0.01171,   -0.01171,   -0.02979,   +0.05225,   +1.01172,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946960290l,   -0.01596,   -0.01064,   -0.01171,   -0.02783,   +0.05566,   +1.03223,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946963332l,   -0.00851,   -0.00851,   -0.01171,   -0.03125,   +0.05859,   +1.02588,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946966375l,   -0.01277,   -0.01064,   -0.00639,   -0.02783,   +0.05273,   +1.03125,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946969417l,   -0.01171,   -0.00532,   -0.01064,   -0.02295,   +0.05664,   +1.01709,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946972458l,   -0.01490,   -0.00851,   -0.00745,   -0.02930,   +0.05322,   +1.03467,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946975500l,   -0.01490,   -0.00426,   -0.00532,   -0.01807,   +0.05371,   +1.03271,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946978542l,   -0.01064,   -0.01064,   -0.01064,   -0.02197,   +0.05273,   +1.01758,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946981596l,   -0.01490,   -0.00426,   -0.00532,   -0.02148,   +0.05713,   +1.00830,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946984639l,   -0.01809,   -0.00745,   -0.01064,   -0.02881,   +0.05176,   +1.03223,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946987680l,   -0.00851,   -0.00851,   -0.00958,   -0.02002,   +0.05420,   +1.03027,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946990722l,   -0.01596,   -0.00958,   -0.00851,   -0.02881,   +0.05420,   +1.02979,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946993765l,   -0.00958,   -0.01490,   -0.01277,   -0.02295,   +0.05615,   +1.01562,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946996808l,   -0.00958,   -0.00745,   -0.00851,   -0.02295,   +0.04980,   +1.02783,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946999849l,   -0.01490,   -0.01064,   -0.00851,   -0.03320,   +0.05957,   +1.01025,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947002891l,   -0.01383,   -0.00851,   -0.00319,   -0.02783,   +0.04395,   +1.02100,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947005933l,   -0.01596,   -0.00851,   -0.00851,   -0.01709,   +0.05371,   +1.00928,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947008975l,   -0.01171,   -0.00745,   -0.01064,   -0.02979,   +0.05615,   +1.01416,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947012039l,   -0.01277,   -0.01171,   -0.00958,   -0.01514,   +0.05078,   +1.01953,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947015111l,   -0.01171,   -0.00745,   -0.00958,   -0.02295,   +0.05859,   +1.02100,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947018155l,   -0.01277,   -0.00745,   -0.01171,   -0.02783,   +0.06055,   +1.02295,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
