Row data started in the following order:
time, gx, gy, gz, ax, ay, az, mx, my, mz, temp, pres;
 253848280l,   -0.01277,   -0.01277,   -0.00851,   -0.01318,   +0.02783,   +1.03467,  -30.77930, +3463.21436,  +35.79492,   +0.00000,   +0.00000;
 253858957l,   -0.01703,   -0.00851,   -0.00745,   -0.01758,   +0.02979,   +1.02197,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253869551l,   -0.01277,   -0.01064,   -0.01171,   -0.01611,   +0.02881,   +1.02588,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253880135l,   -0.01703,   -0.00532,   -0.01064,   -0.01367,   +0.02393,   +1.00879,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253890718l,   -0.01490,   -0.00851,   -0.01171,   -0.01709,   +0.02930,   +1.01514,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253901330l,   -0.01383,   -0.01171,   -0.00958,   -0.01709,   +0.02490,   +1.01758,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253911913l,   -0.01277,   -0.00745,   -0.01064,   -0.02393,   +0.02930,   +1.01562,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253922494l,   -0.01490,   -0.00851,   -0.01064,   -0.01611,   +0.03662,   +1.02734,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253933079l,   -0.01703,   -0.01064,   -0.01064,   -0.01074,   +0.03223,   +1.01807,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253943694l,   -0.01383,   -0.01064,   -0.00958,   -0.02002,   +0.02246,   +1.02783,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253954282l,   -0.01809,   -0.00639,   -0.00745,   -0.02490,   +0.03271,   +1.02393,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253964872l,   -0.01171,   -0.01277,   -0.00958,   -0.01562,   +0.03027,   +1.02490,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253975463l,   -0.01277,   -0.00426,   -0.00958,   -0.01562,   +0.02637,   +1.02539,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253986050l,   -0.01383,   -0.01596,   -0.01064,   -0.01367,   +0.03369,   +1.02051,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 253996645l,   -0.01064,   -0.00639,   -0.00851,   -0.01025,   +0.03516,   +1.03076,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254007229l,   -0.01064,   -0.00745,   -0.00851,   -0.01855,   +0.02490,   +1.02100,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254017810l,   -0.01277,   -0.00958,   -0.01490,   -0.01855,   +0.02393,   +1.02100,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254028393l,   -0.01171,   -0.00958,   -0.00639,   -0.01660,   +0.02441,   +1.00293,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254038977l,   -0.01383,   -0.00319,   -0.00745,   -0.02002,   +0.02832,   +1.02734,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254049558l,   -0.01064,   -0.00639,   -0.01064,   -0.02051,   +0.02441,   +1.02002,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254060137l,   -0.01277,   -0.00851,   -0.00639,   -0.02246,   +0.02246,   +1.01904,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254070708l,   -0.01171,   -0.01596,   -0.01171,   -0.01855,   +0.03125,   +1.01660,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254081289l,   -0.01383,   -0.00532,   -0.01064,   -0.00977,   +0.02881,   +1.02490,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254091872l,   -0.01064,   -0.00958,   -0.00958,   -0.01611,   +0.03564,   +1.00977,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254102455l,   -0.01490,   -0.01171,   -0.01064,   -0.02051,   +0.03369,   +1.02246,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254113034l,   -0.01064,   -0.00851,   -0.01171,   -0.01611,   +0.03467,   +1.01709,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254123653l,   -0.01277,   -0.00639,   -0.01171,   -0.01611,   +0.02539,   +1.02588,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254134262l,   -0.00958,   -0.01277,   -0.00958,   -0.01172,   +0.01904,   +1.01660,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254144945l,   -0.01383,   -0.01064,   -0.00745,   -0.02344,   +0.02295,   +1.01172,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254155525l,   -0.01064,   -0.00851,   -0.01490,   -0.01221,   +0.03662,   +1.02637,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254166106l,   -0.01383,   -0.00958,   -0.00851,   -0.01416,   +0.03662,   +1.01562,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254176689l,   -0.01171,   -0.00958,   -0.01171,   -0.01758,   +0.02686,   +1.01367,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254187270l,   -0.01383,   -0.01277,   -0.00426,   -0.02148,   +0.03125,   +1.02002,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254197848l,   -0.01490,   -0.00958,   -0.01171,   -0.01807,   +0.02832,   +1.02393,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254208434l,   -0.00958,   -0.00958,   -0.00745,   -0.02197,   +0.03125,   +1.02490,  -15.38965,  -28.42559,  +37.19180,   +0.00000,   +0.00000;
 254219016l,   -0.01064,   -0.00958,   -0.01171,   -0.01807,   +0.03613,   +1.02295,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254229598l,   -0.01596,   -0.01171,   -0.00532,   -0.02393,   +0.03320,   +1.03369,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254240176l,   -0.01277,   -0.00639,   -0.01383,   -0.01562,   +0.03516,   +1.02734,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254250776l,   -0.01171,   -0.01064,   -0.00958,   -0.01367,   +0.03467,   +1.03516,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254261373l,   -0.01383,   -0.00851,   -0.00745,   -0.02051,   +0.02686,   +1.03027,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254271965l,   -0.01490,   -0.00426,   -0.00851,   -0.02344,   +0.02930,   +1.01660,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254282545l,   -0.00851,   -0.01064,   -0.01064,   -0.02197,   +0.03223,   +1.00879,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254293122l,   -0.01596,   -0.00958,   -0.01064,   -0.01807,   +0.03076,   +1.02783,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254303699l,   -0.01383,   -0.00639,   -0.00851,   -0.02002,   +0.02441,   +1.01807,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254314304l,   -0.01383,   -0.00745,   -0.00958,   -0.02246,   +0.02539,   +1.02246,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254324886l,   -0.01171,   -0.01171,   -0.00532,   -0.01025,   +0.03027,   +1.02393,  -15.57070,  -28.24453,  +36.31875,   +0.00000,   +0.00000;
 254335466l,   -0.01490,   -0.00532,   -0.01064,   -0.01611,   +0.03271,   +1.01904,  -15.93281,  -29.69297,  +35.96953,   +0.00000,   +0.00000;
 254346044l,   -0.01703,   -0.01383,   -0.00851,   -0.01416,   +0.03076,   +1.01416,  -15.93281,  -29.69297,  +35.96953,   +0.00000,   +0.00000;
 254356630l,   -0.01916,   -0.01171,   -0.00745,   -0.02246,   +0.03027,   +1.02295,  -15.93281,  -29.69297,  +35.96953,   +0.00000,   +0.00000;
