Row data started in the following order:
time, gx, gy, gz, ax, ay, az, mx, my, mz, temp, pres;
2221696422l,   -0.01171,   -0.02128,   -0.00213,   -1.01514,   -0.02686,   +0.01758,   -0.18105, +4714.66406,  -24.79453,   +0.00000,   +0.00000;
2221707261l,   -0.00958,   -0.02341,   +0.00745,   -0.99609,   -0.01709,   +0.00195,  -44.90157,  -16.65703,  -15.71484,   +0.00000,   +0.00000;
2221717961l,   -0.00958,   -0.01596,   +0.00319,   -1.02002,   -0.02295,   -0.00391,  -44.90157,  -16.65703,  -15.71484,   +0.00000,   +0.00000;
2221728648l,   -0.01596,   +0.00426,   -0.00851,   -1.01758,   -0.02393,   +0.00195,  -44.90157,  -16.65703,  -15.71484,   +0.00000,   +0.00000;
2221739334l,   -0.01490,   -0.00639,   +0.00000,   -1.00928,   -0.01904,   +0.02979,  -44.90157,  -16.65703,  -15.71484,   +0.00000,   +0.00000;
2221750021l,   -0.01703,   -0.00958,   -0.00106,   -1.00928,   -0.01807,   +0.01611,  -44.90157,  -16.65703,  -15.71484,   +0.00000,   +0.00000;
2221760707l,   -0.01277,   +0.00426,   -0.00851,   -1.01758,   -0.02002,   +0.02246,  -44.90157,  -16.65703,  -15.71484,   +0.00000,   +0.00000;
2221771385l,   -0.01809,   -0.01171,   -0.00106,   -1.01367,   -0.02344,   +0.01807,  -44.90157,  -16.65703,  -15.71484,   +0.00000,   +0.00000;
2221782073l,   -0.01490,   -0.01809,   +0.00106,   -1.00439,   -0.01514,   +0.00830,  -44.90157,  -16.65703,  -15.71484,   +0.00000,   +0.00000;
2221792852l,   -0.01171,   -0.01383,   +0.00000,   -1.01465,   -0.01562,   +0.00244,  -44.90157,  -16.65703,  -15.71484,   +0.00000,   +0.00000;
2221803599l,   -0.01916,   -0.00106,   -0.00319,   -1.01807,   -0.00977,   +0.00439,  -44.90157,  -16.65703,  -15.71484,   +0.00000,   +0.00000;
2221814342l,   -0.01490,   -0.00426,   -0.00106,   -1.00488,   -0.02441,   +0.02148,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
2221825082l,   -0.01490,   -0.01064,   +0.00000,   -1.02148,   -0.02979,   +0.02686,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
2221835824l,   -0.01809,   +0.00213,   -0.00851,   -1.00928,   -0.01807,   +0.02441,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
2221846565l,   -0.01596,   -0.00106,   -0.00639,   -1.00488,   -0.01221,   +0.02539,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
2221857306l,   -0.01383,   -0.01809,   -0.00106,   -1.01758,   -0.01855,   +0.01660,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
2221868047l,   -0.01703,   -0.01171,   +0.00213,   -1.01562,   -0.02295,   +0.01904,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
2221878787l,   -0.01490,   -0.00319,   -0.01064,   -1.01904,   -0.01465,   +0.00244,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
2221889524l,   -0.01383,   +0.00106,   -0.00745,   -1.01465,   -0.02100,   +0.02441,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
2221900263l,   -0.01277,   -0.00426,   +0.00532,   -1.01709,   -0.02246,   +0.02295,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
2221911004l,   -0.01383,   -0.00426,   +0.00319,   -1.00439,   -0.01807,   +0.00977,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
2221921747l,   -0.01703,   -0.00213,   -0.00639,   -1.01855,   -0.02832,   +0.00977,  -45.26368,  -15.93281,  -17.46094,   +0.00000,   +0.00000;
